driverStandingsId,raceId,driverId,points,position,positionText,wins
343,12,78,0,29,29,0
344,12,10,0,30,30,0
345,13,13,27,1,1,2
346,13,24,17,2,2,1
347,13,27,15,3,3,1
348,13,1,15,4,4,1
349,13,26,15,5,5,0
350,13,40,9,6,6,1
351,13,72,8,7,7,0
352,13,82,6,8,8,0
353,13,3,5,9,9,0
354,13,2,4,10,10,1
355,13,76,3,11,11,0
356,13,5,3,12,12,0
357,13,64,3,13,13,0
358,13,84,3,14,14,0
359,13,48,2,15,15,0
360,13,4,2,16,16,0
361,13,18,2,17,17,0
362,13,85,2,18,18,0
363,13,83,2,19,19,0
364,13,19,0,20,20,0
365,13,79,0,21,21,0
366,13,59,0,22,22,0
367,13,98,0,23,23,0
368,13,12,0,24,24,0
369,13,28,0,25,25,0
370,13,86,0,26,26,0
371,13,22,0,27,27,0
372,13,67,0,28,28,0
373,13,46,0,29,29,0
374,13,68,0,30,30,0
375,14,13,27,1,1,2
376,14,24,25,2,2,2
377,14,27,21,3,3,1
378,14,1,17,4,4,1
379,14,26,15,5,5,0
380,14,72,10,6,6,0
381,14,40,9,7,7,1
382,14,82,6,8,8,0
383,14,64,5,9,9,0
384,14,3,5,10,10,0
385,14,2,4,11,11,1
386,14,76,3,12,12,0
387,14,5,3,13,13,0
388,14,84,3,14,14,0
389,14,48,2,15,15,0
390,14,4,2,16,16,0
391,14,18,2,17,17,0
392,14,85,2,18,18,0
393,14,83,2,19,19,0
394,14,19,0,20,20,0
395,14,79,0,21,21,0
396,14,100,0,22,22,0
397,14,59,0,23,23,0
398,14,98,0,24,24,0
399,14,12,0,25,25,0
400,14,28,0,26,26,0
401,14,86,0,27,27,0
402,14,22,0,28,28,0
403,14,67,0,29,29,0
404,14,46,0,30,30,0
405,15,13,31,1,1,3
406,15,24,25,2,2,2
407,15,27,24,3,3,1
408,15,1,19,4,4,1
409,15,26,15,5,5,0
410,15,72,10,6,6,0
411,15,40,9,7,7,1
412,15,64,7,8,8,0
413,15,82,6,9,9,0
414,15,3,5,10,10,0
415,15,2,4,11,11,1
416,15,76,3,12,12,0
417,15,5,3,13,13,0
418,15,84,3,14,14,0
419,15,48,2,15,15,0
420,15,18,2,16,16,0
