raceId,year,round,circuitId,name,date,time,url,fp1_date,fp1_time,fp2_date,fp2_time,fp3_date,fp3_time,quali_date,quali_time,sprint_date,sprint_time
63,1957,7,14,Pescara Grand Prix,1957-08-18,,http://en.wikipedia.org/wiki/1957_Pescara_Grand_Prix,,,,,,,,,,
64,1957,8,7,Italian Grand Prix,1957-09-08,,http://en.wikipedia.org/wiki/1957_Italian_Grand_Prix,,,,,,,,,,
65,1958,1,12,Argentine Grand Prix,1958-01-19,,http://en.wikipedia.org/wiki/1958_Argentine_Grand_Prix,,,,,,,,,,
66,1958,2,2,Monaco Grand Prix,1958-05-18,,http://en.wikipedia.org/wiki/1958_Monaco_Grand_Prix,,,,,,,,,,
67,1958,3,11,Dutch Grand Prix,1958-05-26,,http://en.wikipedia.org/wiki/1958_Dutch_Grand_Prix,,,,,,,,,,
68,1958,4,3,Indianapolis 500,1958-05-30,,http://en.wikipedia.org/wiki/1958_Indianapolis_500,,,,,,,,,,
69,1958,5,5,Belgian Grand Prix,1958-06-15,,http://en.wikipedia.org/wiki/1958_Belgian_Grand_Prix,,,,,,,,,,
70,1958,6,6,French Grand Prix,1958-07-06,,http://en.wikipedia.org/wiki/1958_French_Grand_Prix,,,,,,,,,,
71,1958,7,1,British Grand Prix,1958-07-19,,http://en.wikipedia.org/wiki/1958_British_Grand_Prix,,,,,,,,,,
72,1958,8,8,German Grand Prix,1958-08-03,,http://en.wikipedia.org/wiki/1958_German_Grand_Prix,,,,,,,,,,
73,1958,9,15,Portuguese Grand Prix,1958-08-24,,http://en.wikipedia.org/wiki/1958_Portuguese_Grand_Prix,,,,,,,,,,
74,1958,10,7,Italian Grand Prix,1958-09-07,,http://en.wikipedia.org/wiki/1958_Italian_Grand_Prix,,,,,,,,,,
75,1958,11,16,Moroccan Grand Prix,1958-10-19,,http://en.wikipedia.org/wiki/1958_Moroccan_Grand_Prix,,,,,,,,,,
