constructorStandingsId,raceId,constructorId,points,position,positionText,wins
700,127,94,0,12,12,0
701,128,33,36,1,1,1
702,128,71,34,2,2,3
703,128,6,28,3,3,2
704,128,92,21,4,4,1
705,128,56,10,5,5,0
706,128,93,3,6,6,0
707,128,79,3,7,7,0
708,128,87,2,8,8,0
709,128,95,0,9,9,0
710,128,86,0,10,10,0
711,128,54,0,11,11,0
712,128,94,0,12,12,0
713,129,6,37,1,1,3
714,129,33,36,2,2,1
715,129,71,35,3,3,3
716,129,92,21,4,4,1
717,129,56,16,5,5,0
718,129,87,4,6,6,0
719,129,93,3,7,7,0
720,129,79,3,8,8,0
721,129,95,0,9,9,0
722,129,86,0,10,10,0
723,129,96,0,11,11,0
724,129,54,0,12,12,0
725,129,94,0,13,13,0
726,130,6,43,1,1,3
727,130,33,42,2,2,2
728,130,71,36,3,3,3
729,130,92,21,4,4,1
730,130,56,16,5,5,0
731,130,93,7,6,6,0
732,130,87,5,7,7,0
733,130,79,3,8,8,0
734,130,95,0,9,9,0
735,130,86,0,10,10,0
736,130,96,0,11,11,0
737,130,54,0,12,12,0
738,130,94,0,13,13,0
739,131,6,45,1,1,3
740,131,33,42,2,2,2
741,131,71,37,3,3,3
742,131,92,30,4,4,2
743,131,56,16,5,5,0
744,131,93,7,6,6,0
745,131,87,5,7,7,0
746,131,79,3,8,8,0
747,131,95,0,9,9,0
748,131,86,0,10,10,0
749,131,96,0,11,11,0
750,131,54,0,12,12,0
751,131,94,0,13,13,0
752,132,71,9,1,1,1
753,132,6,6,2,2,0
754,132,33,4,3,3,0
755,132,56,2,4,4,0
756,132,93,0,5,5,0
757,132,92,0,6,6,0
758,132,94,0,7,7,0
759,132,1,0,8,8,0
760,132,79,0,9,9,0
761,132,97,0,10,10,0
762,132,98,0,11,11,0
763,132,99,0,12,12,0
764,132,91,0,13,13,0
765,132,100,0,14,14,0
766,132,57,0,15,15,0
767,133,33,13,1,1,1
768,133,6,12,2,2,0
769,133,71,9,3,3,1
770,133,56,4,4,4,0
771,133,93,1,5,5,0
772,133,92,0,6,6,0
773,133,94,0,7,7,0
774,133,1,0,8,8,0
775,133,79,0,9,9,0
776,133,97,0,10,10,0
777,133,95,0,11,11,0
778,133,98,0,12,12,0
779,133,99,0,13,13,0
780,133,91,0,14,14,0
781,133,100,0,15,15,0
782,133,57,0,16,16,0
783,134,33,19,1,1,1
784,134,71,18,2,2,2
785,134,6,12,3,3,0
786,134,56,8,4,4,0
787,134,92,3,5,5,0
788,134,93,1,6,6,0
789,134,95,1,7,7,0
790,134,94,0,8,8,0
791,134,1,0,9,9,0
792,134,79,0,10,10,0
793,134,97,0,11,11,0
794,134,98,0,12,12,0
795,134,99,0,13,13,0
796,134,91,0,14,14,0
797,134,100,0,15,15,0
798,134,57,0,16,16,0
799,135,71,27,1,1,3
800,135,33,25,2,2,1
801,135,6,16,3,3,0
802,135,56,8,4,4,0
