resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
21798,903,784,197,8.0,14,8.0,8,8,4.0,77,,,53.0,11.0,1:20.979,148.482,15
21799,903,800,198,17.0,21,9.0,9,9,2.0,77,,,42.0,16.0,1:21.254,147.980,15
21800,903,803,114,20.0,8,10.0,10,10,1.0,77,,,75.0,8.0,1:20.657,149.075,15
21801,903,805,199,9.0,22,11.0,11,11,0.0,77,,,53.0,10.0,1:20.911,148.607,15
21802,903,741,6,7.0,6,12.0,12,12,0.0,77,,,75.0,1.0,1:18.479,153.212,15
21803,903,785,199,10.0,20,13.0,13,13,0.0,75,,,16.0,19.0,1:22.425,145.878,2
21804,903,801,198,4.0,19,14.0,14,14,0.0,75,,,69.0,7.0,1:20.579,149.220,3
21805,903,798,176,21.0,17,,R,15,0.0,59,,,41.0,15.0,1:21.146,148.177,17
21806,903,799,137,77.0,13,,R,16,0.0,55,,,50.0,14.0,1:21.105,148.252,9
21807,903,796,186,25.0,7,,R,17,0.0,50,,,35.0,13.0,1:21.083,148.292,9
21808,903,776,176,99.0,18,,R,18,0.0,23,,,23.0,17.0,1:21.761,147.062,17
21809,903,804,186,26.0,9,,R,19,0.0,10,,,8.0,18.0,1:22.011,146.614,92
21810,903,777,185,1.0,4,,R,20,0.0,5,,,3.0,20.0,1:59.505,100.615,54
21811,903,794,192,11.0,10,,R,21,0.0,0,,,,,,,18
21812,903,793,197,13.0,15,,W,22,0.0,0,,,,,,,39
21813,904,795,185,3.0,6,1.0,1,1,25.0,70,1:39:12.830,5952830.0,68.0,4.0,1:18.640,199.638,1
21814,904,768,45,6.0,1,2.0,2,2,18.0,70,+4.236,5957066.0,33.0,7.0,1:18.881,199.028,1
21815,904,777,185,1.0,3,3.0,3,3,15.0,70,+5.247,5958077.0,48.0,10.0,1:19.171,198.299,1
21816,904,738,114,22.0,9,4.0,4,4,12.0,70,+11.755,5964585.0,64.0,5.0,1:18.759,199.337,1
21817,904,786,192,27.0,11,5.0,5,5,10.0,70,+12.843,5965673.0,64.0,8.0,1:18.936,198.890,1
21818,904,742,6,14.0,7,6.0,6,6,8.0,70,+14.869,5967699.0,64.0,3.0,1:18.614,199.704,1
21819,904,799,137,77.0,4,7.0,7,7,6.0,70,+23.578,5976408.0,52.0,11.0,1:19.321,197.924,1
21820,904,796,186,25.0,8,8.0,8,8,4.0,70,+28.026,5980856.0,56.0,12.0,1:19.399,197.730,1
21821,904,803,114,20.0,12,9.0,9,9,2.0,70,+29.254,5982084.0,56.0,6.0,1:18.819,199.185,1
21822,904,741,6,7.0,10,10.0,10,10,1.0,70,+53.678,6006508.0,68.0,2.0,1:18.529,199.921,1
21823,904,794,192,11.0,13,11.0,11,11,0.0,69,,,63.0,13.0,1:19.491,197.501,18
21824,904,749,137,19.0,5,12.0,12,12,0.0,69,,,58.0,1.0,1:18.504,199.984,18
21825,904,776,176,99.0,16,13.0,13,13,0.0,69,,,66.0,17.0,1:20.226,195.692,15
21826,904,798,176,21.0,22,14.0,14,14,0.0,64,,,51.0,16.0,1:20.112,195.970,129
21827,904,784,197,8.0,14,,R,15,0.0,59,,,54.0,14.0,1:19.650,197.107,103
21828,904,804,186,26.0,15,,R,16,0.0,47,,,43.0,15.0,1:19.978,196.298,113
21829,904,774,45,44.0,2,,R,17,0.0,46,,,24.0,9.0,1:18.942,198.875,37
21830,904,785,199,10.0,21,,R,18,0.0,23,,,20.0,19.0,1:23.130,188.856,30
21831,904,793,197,13.0,17,,R,19,0.0,21,,,21.0,18.0,1:21.514,192.600,130
21832,904,805,199,9.0,20,,R,20,0.0,7,,,7.0,20.0,1:51.041,141.385,54
21833,904,801,198,4.0,18,,R,21,0.0,0,,,,,,,18
21834,904,800,198,17.0,19,,R,22,0.0,0,,,,,,,18
