race,driver,quali_pos
Hungaroring,Esteban Ocon,5
Hungaroring,Fernando Alonso,6
Hungaroring,Max Verstappen,10
Hungaroring,Sergio Pérez,11
Hungaroring,Yuki Tsunoda,16
Hungaroring,Nicholas Latifi,19
Hungaroring,Daniel Ricciardo,9
Hungaroring,Lance Stroll,14
Hungaroring,George Russell,1
Hungaroring,Lewis Hamilton,7
Hungaroring,Charles Leclerc,3
Hungaroring,Carlos Sainz,2
Hungaroring,Alexander Albon,17
Hungaroring,Guanyu Zhou,12
Hungaroring,Valtteri Bottas,8
Hungaroring,Sebastian Vettel,18
Circuit de Spa-Francorchamps,Lando Norris,17
Circuit de Spa-Francorchamps,Pierre Gasly,0
Circuit de Spa-Francorchamps,Mick Schumacher,19
Circuit de Spa-Francorchamps,Kevin Magnussen,12
Circuit de Spa-Francorchamps,Esteban Ocon,16
Circuit de Spa-Francorchamps,Fernando Alonso,3
Circuit de Spa-Francorchamps,Max Verstappen,14
Circuit de Spa-Francorchamps,Sergio Pérez,2
Circuit de Spa-Francorchamps,Yuki Tsunoda,0
Circuit de Spa-Francorchamps,Nicholas Latifi,11
Circuit de Spa-Francorchamps,Daniel Ricciardo,7
Circuit de Spa-Francorchamps,Lance Stroll,9
Circuit de Spa-Francorchamps,George Russell,5
Circuit de Spa-Francorchamps,Lewis Hamilton,4
Circuit de Spa-Francorchamps,Charles Leclerc,15
Circuit de Spa-Francorchamps,Carlos Sainz,1
Circuit de Spa-Francorchamps,Alexander Albon,6
Circuit de Spa-Francorchamps,Guanyu Zhou,18
Circuit de Spa-Francorchamps,Valtteri Bottas,13
Circuit de Spa-Francorchamps,Sebastian Vettel,10
Circuit Park Zandvoort,Lando Norris,7
Circuit Park Zandvoort,Pierre Gasly,11
Circuit Park Zandvoort,Mick Schumacher,8
Circuit Park Zandvoort,Kevin Magnussen,18
Circuit Park Zandvoort,Esteban Ocon,12
Circuit Park Zandvoort,Fernando Alonso,13
Circuit Park Zandvoort,Max Verstappen,1
Circuit Park Zandvoort,Sergio Pérez,5
Circuit Park Zandvoort,Yuki Tsunoda,9
Circuit Park Zandvoort,Nicholas Latifi,20
Circuit Park Zandvoort,Daniel Ricciardo,17
Circuit Park Zandvoort,Lance Stroll,10
Circuit Park Zandvoort,George Russell,6
Circuit Park Zandvoort,Lewis Hamilton,4
Circuit Park Zandvoort,Charles Leclerc,2
Circuit Park Zandvoort,Carlos Sainz,3
Circuit Park Zandvoort,Alexander Albon,15
Circuit Park Zandvoort,Guanyu Zhou,14
Circuit Park Zandvoort,Valtteri Bottas,16
Circuit Park Zandvoort,Sebastian Vettel,19
Autodromo Nazionale di Monza,Lando Norris,3
Autodromo Nazionale di Monza,Pierre Gasly,5
Autodromo Nazionale di Monza,Mick Schumacher,17
Autodromo Nazionale di Monza,Kevin Magnussen,16
Autodromo Nazionale di Monza,Esteban Ocon,14
Autodromo Nazionale di Monza,Fernando Alonso,6
Autodromo Nazionale di Monza,Max Verstappen,7
Autodromo Nazionale di Monza,Sergio Pérez,13
Autodromo Nazionale di Monza,Yuki Tsunoda,20
Autodromo Nazionale di Monza,Nicholas Latifi,10
Autodromo Nazionale di Monza,Daniel Ricciardo,4
Autodromo Nazionale di Monza,Lance Stroll,12
Autodromo Nazionale di Monza,George Russell,2
Autodromo Nazionale di Monza,Lewis Hamilton,19
Autodromo Nazionale di Monza,Charles Leclerc,1
Autodromo Nazionale di Monza,Carlos Sainz,18
Autodromo Nazionale di Monza,Guanyu Zhou,9
Autodromo Nazionale di Monza,Valtteri Bottas,15
Autodromo Nazionale di Monza,Sebastian Vettel,11
Autodromo Nazionale di Monza,Nyck de Vries,8
Marina Bay Street Circuit,Lando Norris,6
Marina Bay Street Circuit,Pierre Gasly,7
Marina Bay Street Circuit,Mick Schumacher,12
Marina Bay Street Circuit,Kevin Magnussen,9
Marina Bay Street Circuit,Esteban Ocon,17
Marina Bay Street Circuit,Fernando Alonso,5
Marina Bay Street Circuit,Max Verstappen,8
Marina Bay Street Circuit,Sergio Pérez,2
Marina Bay Street Circuit,Yuki Tsunoda,10
Marina Bay Street Circuit,Nicholas Latifi,19
Marina Bay Street Circuit,Daniel Ricciardo,16
Marina Bay Street Circuit,Lance Stroll,11
Marina Bay Street Circuit,George Russell,0
Marina Bay Street Circuit,Lewis Hamilton,3
Marina Bay Street Circuit,Charles Leclerc,1
Marina Bay Street Circuit,Carlos Sainz,4
Marina Bay Street Circuit,Alexander Albon,18
Marina Bay Street Circuit,Guanyu Zhou,14
Marina Bay Street Circuit,Valtteri Bottas,15
Marina Bay Street Circuit,Sebastian Vettel,13
Suzuka Circuit,Lando Norris,10
Suzuka Circuit,Pierre Gasly,17
Suzuka Circuit,Mick Schumacher,15
Suzuka Circuit,Kevin Magnussen,18
Suzuka Circuit,Esteban Ocon,5
Suzuka Circuit,Fernando Alonso,7
Suzuka Circuit,Max Verstappen,1
Suzuka Circuit,Sergio Pérez,4
Suzuka Circuit,Yuki Tsunoda,13
Suzuka Circuit,Nicholas Latifi,20
Suzuka Circuit,Daniel Ricciardo,11
Suzuka Circuit,Lance Stroll,19
Suzuka Circuit,George Russell,8
Suzuka Circuit,Lewis Hamilton,6
Suzuka Circuit,Charles Leclerc,2
Suzuka Circuit,Carlos Sainz,3
Suzuka Circuit,Alexander Albon,16
Suzuka Circuit,Guanyu Zhou,14
Suzuka Circuit,Valtteri Bottas,12
Suzuka Circuit,Sebastian Vettel,9
Circuit of the Americas,Lando Norris,6
Circuit of the Americas,Pierre Gasly,11
Circuit of the Americas,Mick Schumacher,16
Circuit of the Americas,Kevin Magnussen,13
Circuit of the Americas,Esteban Ocon,0
Circuit of the Americas,Fernando Alonso,14
Circuit of the Americas,Max Verstappen,2
Circuit of the Americas,Sergio Pérez,9
Circuit of the Americas,Yuki Tsunoda,19
Circuit of the Americas,Nicholas Latifi,17
Circuit of the Americas,Daniel Ricciardo,15
Circuit of the Americas,Lance Stroll,5
Circuit of the Americas,George Russell,4
Circuit of the Americas,Lewis Hamilton,3
Circuit of the Americas,Charles Leclerc,12
Circuit of the Americas,Carlos Sainz,1
Circuit of the Americas,Alexander Albon,8
Circuit of the Americas,Guanyu Zhou,18
Circuit of the Americas,Valtteri Bottas,7
Circuit of the Americas,Sebastian Vettel,10
Autódromo Hermanos Rodríguez,Lando Norris,8
Autódromo Hermanos Rodríguez,Pierre Gasly,14
Autódromo Hermanos Rodríguez,Mick Schumacher,15
Autódromo Hermanos Rodríguez,Kevin Magnussen,19
Autódromo Hermanos Rodríguez,Esteban Ocon,10
Autódromo Hermanos Rodríguez,Fernando Alonso,9
Autódromo Hermanos Rodríguez,Max Verstappen,1
Autódromo Hermanos Rodríguez,Sergio Pérez,4
Autódromo Hermanos Rodríguez,Yuki Tsunoda,13
Autódromo Hermanos Rodríguez,Nicholas Latifi,18
Autódromo Hermanos Rodríguez,Daniel Ricciardo,11
Autódromo Hermanos Rodríguez,Lance Stroll,20
Autódromo Hermanos Rodríguez,George Russell,2
Autódromo Hermanos Rodríguez,Lewis Hamilton,3
Autódromo Hermanos Rodríguez,Charles Leclerc,7
Autódromo Hermanos Rodríguez,Carlos Sainz,5
Autódromo Hermanos Rodríguez,Alexander Albon,17
Autódromo Hermanos Rodríguez,Guanyu Zhou,12
Autódromo Hermanos Rodríguez,Valtteri Bottas,6
Autódromo Hermanos Rodríguez,Sebastian Vettel,16
Autódromo José Carlos Pace,Lando Norris,6
Autódromo José Carlos Pace,Pierre Gasly,10
Autódromo José Carlos Pace,Mick Schumacher,12
Autódromo José Carlos Pace,Kevin Magnussen,8
Autódromo José Carlos Pace,Esteban Ocon,16
Autódromo José Carlos Pace,Fernando Alonso,17
Autódromo José Carlos Pace,Max Verstappen,3
Autódromo José Carlos Pace,Sergio Pérez,4
Autódromo José Carlos Pace,Yuki Tsunoda,0
Autódromo José Carlos Pace,Nicholas Latifi,18
Autódromo José Carlos Pace,Daniel Ricciardo,11
Autódromo José Carlos Pace,Lance Stroll,15
Autódromo José Carlos Pace,George Russell,1
Autódromo José Carlos Pace,Lewis Hamilton,2
Autódromo José Carlos Pace,Charles Leclerc,5
Autódromo José Carlos Pace,Carlos Sainz,7
Autódromo José Carlos Pace,Alexander Albon,19
Autódromo José Carlos Pace,Guanyu Zhou,13
Autódromo José Carlos Pace,Valtteri Bottas,14
Autódromo José Carlos Pace,Sebastian Vettel,9
